GEOID,NAME,variable,estimate,moe,city,state
5553000,"Milwaukee city, Wisconsin",C16002_010,1264,236,Milwaukee,WI
5553000,"Milwaukee city, Wisconsin",C16002_013,471,154,Milwaukee,WI
1150000,"Washington city, District of Columbia",B01003_001,672391,NA,Washington,DC
1150000,"Washington city, District of Columbia",B03002_003,241901,372,Washington,DC
1150000,"Washington city, District of Columbia",B03002_012,71829,NA,Washington,DC
1150000,"Washington city, District of Columbia",B11016_001,277985,1316,Washington,DC
1150000,"Washington city, District of Columbia",B17021_002,111025,3247,Washington,DC
1150000,"Washington city, District of Columbia",B19013_001,77649,1075,Washington,DC
1150000,"Washington city, District of Columbia",C16002_004,5821,525,Washington,DC
1150000,"Washington city, District of Columbia",C16002_007,1232,240,Washington,DC
1150000,"Washington city, District of Columbia",C16002_010,1363,279,Washington,DC
1150000,"Washington city, District of Columbia",C16002_013,1405,267,Washington,DC
1369000,"Savannah city, Georgia",B01003_001,145094,50,Savannah,GA
1369000,"Savannah city, Georgia",B03002_003,52496,1512,Savannah,GA
1369000,"Savannah city, Georgia",B03002_012,6946,793,Savannah,GA
1369000,"Savannah city, Georgia",B11016_001,53664,990,Savannah,GA
1369000,"Savannah city, Georgia",B17021_002,32269,1498,Savannah,GA
1369000,"Savannah city, Georgia",B19013_001,39386,1190,Savannah,GA
1369000,"Savannah city, Georgia",C16002_004,429,159,Savannah,GA
1369000,"Savannah city, Georgia",C16002_007,268,127,Savannah,GA
1369000,"Savannah city, Georgia",C16002_010,199,85,Savannah,GA
1369000,"Savannah city, Georgia",C16002_013,9,15,Savannah,GA
3651000,"New York city, New York",B01003_001,8560072,NA,New York,NY
3651000,"New York city, New York",B03002_003,2747159,1907,New York,NY
3651000,"New York city, New York",B03002_012,2491496,NA,New York,NY
3651000,"New York city, New York",B11016_001,3142405,6293,New York,NY
3651000,"New York city, New York",B17021_002,1648288,15783,New York,NY
3651000,"New York city, New York",B19013_001,57782,341,New York,NY
3651000,"New York city, New York",C16002_004,218113,3522,New York,NY
3651000,"New York city, New York",C16002_007,118261,2147,New York,NY
