SystemName,City,State,ResponseId,pop,nhwht,hisp,hh,pov_p,medinc_h,limeng,pct_nwht,pct_hisp,pct_pov_p,pct_limeng_h
Topeka Metro Bikes,Topeka,KS,R_pQQ1ZQM5QvIUa2t,127139,87645,18168,53220,20511,46087,939,31.06363901,14.28987172,16.13273661,1.764374295
Tugo Bike Share,Tucson,AZ,R_1d14ZeJKMVtFp1A,530905,238457,228012,209906,121994,39617,11908,55.08480802,42.94779669,22.97849898,5.67301554
UHBikes,Cleveland,OH,R_PXJA8nMiIlguvmx,388812,131338,43466,168496,133144,27854,6374,66.22069278,11.17918171,34.24379906,3.782879119
UHBikes,Cleveland,OH,R_tDqkQLI6K70hRqF,388812,131338,43466,168496,133144,27854,6374,66.22069278,11.17918171,34.24379906,3.782879119
Upgrade Bike Share,Evansville,IN,R_1jPucEWPOJAXB4g,119806,95757,3583,51580,27001,36956,384,20.07328514,2.990668247,22.53726858,0.744474603
WE-cycle,Aspen and Basalt,CO,R_27DLk35chfAMkL6,10946,9232,1218,4989,910,67785.78994,154,15.65868811,11.12735246,8.313539192,3.08679094
Zagster and Pace,Boston and all across US,MA + 37 others,R_2f3sDlUpL8JJb9s,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Zagster Longmont,Longmont,CO,R_1QmuNM0jHyujZ4E,91730,62112,23520,35020,10920,66349,1129,32.28823722,25.64046659,11.90450234,3.223872073
Zagster Roanoke,Roanoke,VA,R_XwgtGjTTGz9Cglb,99572,59263,6012,42333,21046,41483,1011,40.48226409,6.037841964,21.13646407,2.388207781
Zyp BikeShare,Birmingham,AL,R_2XaGPYtpXViRVVT,212265,48478,7332,90149,57730,33770,1251,77.16156691,3.45417285,27.19713566,1.387702581
